
148  0.286943 +/- 0.286943 + 0.0559674 - 0.0548788  TF = 0.286943, Ngobs = 1
149  0.345808 +/- 0.345808 + 0.0744119 - 0.0732249  TF = 0.345808, Ngobs = 0
150  0.381958 +/- 0.381958 + 0.104419 - 0.105055  TF = 0.381958, Ngobs = 1
151  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 6
152  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
153  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
154  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 5
155  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
156  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
157  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
158  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
159  2.14043 +/- 0.873827 + 3.06306 - 3.06196  TF = 0.356739, Ngobs = 6
160  1.30361 +/- 0.651807 + 1.87605 - 1.87539  TF = 0.325903, Ngobs = 4
161  1.08502 +/- 0.626438 + 1.55207 - 1.55151  TF = 0.361674, Ngobs = 3
162  1.62494 +/- 0.726695 + 2.3264 - 2.32557  TF = 0.324988, Ngobs = 5
163  0.290702 +/- 0.290702 + 0.419239 - 0.419091  TF = 0.290702, Ngobs = 0
164  0.264992 +/- 0.264992 + 0.380596 - 0.38046  TF = 0.264992, Ngobs = 1
165  0.319354 +/- 0.319354 + 0.459591 - 0.459428  TF = 0.319354, Ngobs = 0
166  0.352739 +/- 0.352739 + 0.511108 - 0.511219  TF = 0.352739, Ngobs = 1
167  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 6
168  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
169  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 3
170  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 5
171  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
172  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
173  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
174  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
