 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 2 2 4| |     11|      2| 0.0993| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 5| |      0|      1| 0.1002| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 6| |      2|      2| 0.0975| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 7| |      0|      0| 0.1080| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 8| |      0|      0| 0.0907| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 2 9| |      0|      0| 0.0994| 0.1957| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0504
 2 3 0| |      0|      1| 0.0155| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 1| |      0|      1| 0.0177| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 2| |      0|      0| 0.0185| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 3| |      1|      1| 0.0164| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 4| |      1|      0| 0.0173| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 5| |      0|      0| 0.0175| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 6| |      0|      0| 0.0168| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 7| |      0|      0| 0.0195| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
 2 3 8| |      0|      0| 0.0151| 0.4515| 0.0000| 0.0000| 0.0000| 0.0000| 0.3000| 0.0504
