
130  1.17778 +/- 0.193626 + 0.896824 - 0.894199  TF = 0.031832, Ngobs = 37
131  0.149679 +/- 0.0529195 + 0.116865 - 0.116539  TF = 0.0187099, Ngobs = 8
132  0.0552661 +/- 0.0319079 + 0.0424908 - 0.0423688  TF = 0.018422, Ngobs = 3
133  0.0569716 +/- 0.0328926 + 0.0440576 - 0.0439325  TF = 0.0189905, Ngobs = 3
134  0.0378892 +/- 0.0378892 + 0.0295744 - 0.02955  TF = 0.0378892, Ngobs = 0
135  2.59819 +/- 0.36744 + 1.72724 - 1.7206  TF = 0.0519639, Ngobs = 50
136  0.712958 +/- 0.172918 + 0.485309 - 0.48353  TF = 0.0419387, Ngobs = 17
137  4.68248 +/- 0.490857 + 3.10706 - 3.09508  TF = 0.0514558, Ngobs = 91
138  1.51409 +/- 0.248915 + 1.00792 - 1.00406  TF = 0.0409214, Ngobs = 37
139  0.448746 +/- 0.158656 + 0.308604 - 0.307497  TF = 0.0560933, Ngobs = 8
140  0.165691 +/- 0.0956616 + 0.111697 - 0.11128  TF = 0.0552302, Ngobs = 3
141  0.170804 +/- 0.0986138 + 0.116017 - 0.11559  TF = 0.0569347, Ngobs = 3
142  0.0568092 +/- 0.0568092 + 0.0390539 - 0.0390122  TF = 0.0568092, Ngobs = 0
143  0.41109 +/- 0.41109 + 0.0847781 - 0.0780758  TF = 0.41109, Ngobs = 0
144  0.374436 +/- 0.374436 + 0.09467 - 0.0897601  TF = 0.374436, Ngobs = 0
145  1.24059 +/- 0.716257 + 0.248921 - 0.228081  TF = 0.413531, Ngobs = 3
146  1.15774 +/- 0.668424 + 0.240483 - 0.221754  TF = 0.385915, Ngobs = 3
147  0.366995 +/- 0.366995 + 0.0991741 - 0.0946869  TF = 0.366995, Ngobs = 1
148  0.71681 +/- 0.506861 + 0.1672 - 0.156962  TF = 0.358405, Ngobs = 2
149  0.376238 +/- 0.376238 + 0.0934975 - 0.0884732  TF = 0.376238, Ngobs = 0
150  0.491429 +/- 0.491429 + 0.132369 - 0.128596  TF = 0.491429, Ngobs = 0
151  0.146225 +/- 0.146225 + 0.0961933 - 0.0954728  TF = 0.146225, Ngobs = 0
152  0.116113 +/- 0.116113 + 0.0782782 - 0.07772  TF = 0.116113, Ngobs = 0
153  0.409148 +/- 0.236222 + 0.268501 - 0.26648  TF = 0.136383, Ngobs = 3
154  0.320232 +/- 0.184886 + 0.210975 - 0.209399  TF = 0.106744, Ngobs = 3
155  0.15634 +/- 0.15634 + 0.106352 - 0.105608  TF = 0.15634, Ngobs = 1
156  0.305361 +/- 0.215923 + 0.203505 - 0.202019  TF = 0.152681, Ngobs = 2
157  0.160277 +/- 0.160277 + 0.107695 - 0.106922  TF = 0.160277, Ngobs = 0
158  0.129197 +/- 0.129197 + 0.0882835 - 0.0878972  TF = 0.129197, Ngobs = 0
159  0.0325995 +/- 0.0325995 + 0.0287178 - 0.028598  TF = 0.0325995, Ngobs = 0
160  0.0339614 +/- 0.0339614 + 0.0303508 - 0.0302278  TF = 0.0339614, Ngobs = 0
161  0.106319 +/- 0.0613832 + 0.0935631 - 0.0931722  TF = 0.0354396, Ngobs = 3
162  0.114964 +/- 0.0663745 + 0.10146 - 0.101038  TF = 0.0383214, Ngobs = 3
163  0.0228638 +/- 0.0228638 + 0.0205126 - 0.0204301  TF = 0.0228638, Ngobs = 1
164  0.0446573 +/- 0.0315775 + 0.0395988 - 0.0394359  TF = 0.0223286, Ngobs = 2
165  0.0234396 +/- 0.0234396 + 0.0208815 - 0.0207963  TF = 0.0234396, Ngobs = 0
166  0.0439338 +/- 0.0439338 + 0.0398026 - 0.0397036  TF = 0.0439338, Ngobs = 0
167  0.0224866 +/- 0.0224866 + 0.0473265 - 0.047292  TF = 0.0224866, Ngobs = 0
168  0.017299 +/- 0.017299 + 0.0365025 - 0.036476  TF = 0.017299, Ngobs = 0
169  0.0617815 +/- 0.0356696 + 0.130012 - 0.129918  TF = 0.0205938, Ngobs = 3
170  0.0466571 +/- 0.0269375 + 0.0982341 - 0.0981625  TF = 0.0155524, Ngobs = 3
171  0.0253227 +/- 0.0253227 + 0.0534667 - 0.053428  TF = 0.0253227, Ngobs = 1
172  0.0494599 +/- 0.0349734 + 0.104212 - 0.104136  TF = 0.02473, Ngobs = 2
173  0.0259604 +/- 0.0259604 + 0.054744 - 0.0547042  TF = 0.0259604, Ngobs = 0
174  0.015824 +/- 0.015824 + 0.033474 - 0.0334587  TF = 0.015824, Ngobs = 0
