
156  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
157  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
158  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
159  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 1
160  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
161  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
162  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 4
163  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
164  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 2
165  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
166  0 +/- 0 + 0 - 0  TF = 0, Ngobs = 0
167  0.152332 +/- 0.152332 + 0.193601 - 0.193513  TF = 0.152332, Ngobs = 1
168  0.147927 +/- 0.147927 + 0.18935 - 0.189265  TF = 0.147927, Ngobs = 0
169  0.311583 +/- 0.220322 + 0.395775 - 0.395595  TF = 0.155791, Ngobs = 2
170  0.569072 +/- 0.284536 + 0.723617 - 0.723289  TF = 0.142268, Ngobs = 4
171  0.126992 +/- 0.126992 + 0.162971 - 0.162899  TF = 0.126992, Ngobs = 0
172  0.228067 +/- 0.161267 + 0.291165 - 0.291034  TF = 0.114033, Ngobs = 2
173  0.141572 +/- 0.141572 + 0.181205 - 0.181124  TF = 0.141572, Ngobs = 0
174  0.159508 +/- 0.159508 + 0.205916 - 0.205973  TF = 0.159508, Ngobs = 0
